Book Name,Author,Description,Rating,Number of Reviews,Price,Rank,Genre,Listening Time (minutes)
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,"Over the past three years, Jay Shetty has become one of the world’s most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the world’s number one health-related podcast.  ",4.9,371.0,10080.0,1,Society & Culture (Books),654.0
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,Brought to you by Penguin.,4.6,3682.0,615.0,2,Personal Success,203.0
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. ",4.4,20306.0,10378.0,3,Personal Development & Self-Help,317.0
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,Brought to you by Penguin.,4.6,4678.0,888.0,5,Personal Success,335.0
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,"Stop going through life,  Start growing through life!",4.6,4308.0,1005.0,6,Spiritualism,385.0
Extraordinary Leadership,Robin Sharma,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4.1,179.0,0.0,1,Business Careers,66.0
Sapiens,Yuval Noah Harari,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,4.6,20163.0,1093.0,4,Anthropology (Books),918.0
Sapiens,Yuval Noah Harari,New York Times Best Seller  ,4.6,19994.0,1171.0,72,Anthropology (Books),1302.0
The Intelligent Investor Rev Ed.,Benjamin Graham,The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions ,4.4,9339.0,18290.0,7,Analysis & Strategy,1068.0
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Rich Dad Poor Dad will…. ,4.5,22123.0,837.0,9,Personal Development & Self-Help,369.0
