,Book Name,Author,Rating,Number of Reviews,Price,Rank,Genre,Listening Time (minutes),cleaned_description,cluster
0,Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,4.9,371.0,10080.0,1,Society & Culture (Books),654.0,over past three year jay shetty become one world popular influencers one clip watched video facebook last year million view his social medium following total million produced viral video amassed five billion view podcast on purpose consistently ranked world number one podcast,2
1,Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3682.0,615.0,2,Personal Success,203.0,brought penguin,1
2,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20306.0,10378.0,3,Personal Development & Self-Help,317.0,in guide superstar blogger cut crap show u stop trying positive time truly become better happier people,2
3,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4678.0,888.0,5,Personal Success,335.0,brought penguin,1
4,Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4308.0,1005.0,6,Spiritualism,385.0,stop going life start growing life,2
5,Extraordinary Leadership,Robin Sharma,4.1,179.0,0.0,1,Business Careers,66.0,by completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,1
6,Sapiens,Yuval Noah Harari,4.6,20163.0,1093.0,4,Anthropology (Books),918.0,fire gave u power farming made u hungry money gave u purpose science made u deadly,2
7,Sapiens,Yuval Noah Harari,4.6,19994.0,1171.0,72,Anthropology (Books),1302.0,new york time best seller,2
8,The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9339.0,18290.0,7,Analysis & Strategy,1068.0,the classic text annotated update graham timeless wisdom today market condition,2
9,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,22123.0,837.0,9,Personal Development & Self-Help,369.0,rich dad poor dad,2
10,The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5116.0,8735.0,8,Healthy Living & Wellness,664.0,legendary leadership elite performance expert robin sharma introduced the club concept year ago based revolutionary morning routine helped client maximise productivity activate best health bulletproof serenity age overwhelming complexity,2
11,Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,43.0,0.0,2,Business Management,439.0,utv founder pioneer medium industry ronnie screwvala one india successful entrepreneur an avid philanthropist penned dream your eye open an entrepreneurial journey one inspiring entrepreneurial book pictured relaxed content cover page book screwvala provides relentless pursuit entrepreneurial glory describes others learn,2
12,Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3795.0,12356.0,11,Earth Sciences Books,606.0,influence classic book persuasion explains psychology people say yes apply understanding,2
13,The Sandman,Neil Gaiman,5.0,1.0,1171.0,16,Fantasy (Books),654.0,please note this content kid it mature audience just like original graphic novel audio adaptation contains explicit language graphic violence well strong sexual content theme discretion advised,2
14,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28237.0,10378.0,10,"Crime, Thriller & Mystery (Books)",240.0,by completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,1
15,How to Win Friends and Influence People,Dale Carnegie,4.5,21000.0,668.0,18,Personal Development & Self-Help,485.0,how win friend influence people book pioneer genre written dale carnegie published sold million copy it edited several time,2
16,"Thinking, Fast and Slow",Daniel Kahneman,4.4,9865.0,1093.0,13,Personal Success,1201.0,brought penguin,1
17,Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,6.0,3037.0,15,"Crime, Thriller & Mystery (Books)",4317.0,now updated include chapter name information easily find favourite story novel,2
18,Becoming,Michelle Obama,4.6,13941.0,1093.0,12,Biographies & Autobiographies (Books),1143.0,penguin present audiobook edition becoming michelle obama,3
19,Just Do It: The Nike Spirit in the Corporate World,Donald Katz,4.0,38.0,0.0,3,Biographies of Actors,840.0,the protagonist just do it phil knight reclusive billionaire started operation importing japanese running shoe built billion company irreverent unpredictable leery sport establishment knight created muscular jock culture business place employee routinely took two hour lunch work strategized late night holy war competitor reebok adidas to outsider nike cult insider believed furthering company mission improve performance serious athlete,2
20,The Warren Buffett Way: 3rd Edition,Robert Hagstrom,4.2,72.0,1005.0,17,Personal Finance,631.0,warren buffett remains one watched figure business today he become billionaire investment sage buying chunk company holding onto managing business eventually reaping huge profit investor berkshire hathaway the first two edition the warren buffett way gave investor first look innovative investment business strategy behind spectacular success living legend warren buffett tracing warren buffett career beginning hagstrom told listener exactly starting initial investment buffett built business empire estimated net worth billion the third edition the warren buffett way focus timeless principle strategy behind buffett extraordinary investment success there new chapter important distinction investment trading examination successful disciple warren buffett some less important material deleted overall focus create edition stand test time distilling buffett success formula way provide value listener decade come,2
21,21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2836.0,1093.0,14,Political Theory,701.0,brought penguin,1
22,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.6,952.0,10378.0,21,Investing & Trading,310.0,secret millionaire mind reveals missing link wanting success achieving,2
23,"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.4,419.0,668.0,19,Personal Development & Self-Help,356.0,we work hard earn money but regardless much earn money worry never go away bill rent emis medical cost vacation kid education somewhere back head niggling thought retirement,2
24,Elon Musk,Ashlee Vance,4.5,6491.0,888.0,23,Biographies of Business Leaders,803.0,brought penguin,1
25,The Monk Who Sold His Ferrari,Robin Sharma,4.6,7585.0,351.0,22,Spirituality (Books),160.0,author robin sharma read international allowing gain wisdom lesson original book commute this abridged audiobook one sharma leadership international audio product,2
26,The Power of Your Subconscious Mind,Joseph Murphy,4.5,18381.0,99.0,30,"Mind, Body & Spirit",433.0,the power your subconscious mind open world success happiness prosperity peace it one brilliant beloved spiritual work time help heal banish fear sleep better enjoy better relationship feel happier the technique simple result come quickly you improve relationship finance physical,2
27,Raavan: Enemy of Aryavarta,Amish Tripathi,4.5,4483.0,836.0,39,Fantasy (Books),692.0,without darkness light purpose,2
28,"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.5,6733.0,888.0,24,Personal Success,653.0,brought penguin,1
29,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,11336.0,836.0,35,Biographies & Autobiographies (Books),817.0,for david goggins childhood nightmare poverty prejudice physical abuse colored day haunted night but mental toughness hard work goggins transformed depressed overweight young man future u armed force icon one world top endurance athlete the man history complete elite training navy seal army ranger air force tactical air controller went set record numerous endurance event inspiring outside magazine name the fittest real man america,2
30,Zero to One,Peter Thiel,4.4,5331.0,615.0,25,Organisational Behaviour,290.0,what valuable company nobody building the next bill gate build operating system the next larry page sergey brin wo make search engine if copying guy learning it easier copy model make something new already know take world adding something familiar,2
31,My Gita,Devdutt Pattanaik,4.2,1244.0,501.0,26,Theology & Philosophy of Religion,375.0,in my gita acclaimed mythologist devdutt pattanaik demystifies the bhagavad gita contemporary reader his unique approach thematic rather verse verse make ancient treatise eminently accessible,2
32,"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,4.7,11978.0,999.0,29,Fiction on Friendship for Children,573.0,turning envelope hand trembling harry saw purple wax seal bearing coat arm lion eagle badger snake surrounding large letter h,2
33,Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,4.7,6521.0,888.0,37,Forecasting & Strategic Planning,487.0,brought penguin,1
34,Chanakya Neeti,Acharya Chanakya,4.4,92.0,668.0,28,Biographies & Autobiographies (Books),302.0,chanakya indian teacher philosopher royal advisor he managed first maurya emperor chandragupta rise power young age he widely credited played important role establishment maurya empire first empire archaeologically recorded history rule indian subcontinent,2
35,The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t,Shwetabh Gangwar,4.5,2079.0,501.0,44,Personal Development & Self-Help,291.0,shwetabh gangwar professional ace for past five year people world contacted trouble worked,2
36,Start with Why: How Great Leaders Inspire Everyone to Take Action (Int'l Edit.),Simon Sinek,4.5,3858.0,820.0,53,Entrepreneurship (Audible Audiobooks & Originals),432.0,why people organization innovative influential profitable others why command greater loyalty customer employee alike even among successful able repeat success,2
37,The Tatas: How a Family Built a Business and a Nation,Girish Kuber,4.4,53.0,668.0,34,Biographies & Autobiographies (Books),581.0,winner gaja capital business book prize,2
38,Hyperfocus,Chris Bailey,4.5,157.0,323.0,31,Time Management & Productivity,399.0,our attention never overwhelmed demand today never busy accomplishing little grown uncomfortable boredom lack stimulation distraction,2
39,"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.7,2434.0,750.0,36,Personal Success,777.0,an instant new york time best seller number one wall street journal best seller,2
40,Meri Gita,Devdutt Pattanaik,4.2,129.0,668.0,40,Christianity (Books),459.0,in meri gita acclaimed mythologist devdutt pattanaik demystifies the bhagavad gita contemporary listener his unique approach thematic rather make ancient treatise eminently world seems spellbound argument dialogue devdutt highlight krishna nudge arjuna understand rather judge relationship this becomes relevant today increasingly indulging isolating self even selfies we forget live ecosystem others nourish food love meaning even fight,2
41,The Unusual Billionaires,Saurabh Mukherjea,4.4,288.0,1005.0,20,Essays (Books),552.0,what make company truly outstanding,2
42,To Kill a Mockingbird,Harper Lee,4.5,20053.0,888.0,-1,,486.5,brought penguin,1
43,A Space of Her Own: Personal Narratives of Twelve Women,Leela Gulati,3.4,9.0,0.0,4,Sociology (Audible Audiobooks & Originals),671.0,focusing relationship woman different generation india book comprised narrative demonstrating contributor established personhood engagement wider kin group,2
44,The Tales of Beedle the Bard,J.K. Rowling,4.6,3712.0,652.0,55,Fairy Tale Collections & Anthologies for Children,95.0,written rowling read sally mortemore warwick davis evanna lynch jason isaac bonnie wright noma dumezweni jude law,2
45,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,4.1,12.0,888.0,27,Analysis & Strategy,582.0,hard work irrelevant be radically honest adequate performance get generous severance and never ever try please bos these ground rule work netflix they part unique cultural experiment explains company transformed lightning speed dvd service streaming superpower million fervent subscriber market capitalisation bigger disney,2
46,Think and Grow Rich,Napoleon Hill,4.5,22448.0,166.0,38,Economics Books,615.0,by completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,1
47,Think and Grow Rich,Napoleon Hill,4.5,22330.0,836.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
48,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.5,5339.0,1093.0,47,History (Audible Audiobooks & Originals),893.0,brought penguin,1
49,Inglorious Empire: What the British Did to India,Shashi Tharoor,4.5,304.0,752.0,33,Colonialism & Post-Colonialism,633.0,penguin present audiobook edition inglorious empire written read shashi tharoor,3
50,Hitchhiker's Guide to the Galaxy,Douglas Adams,4.5,2473.0,323.0,-1,,486.5,a much loved classic entertaining intergalactic adventure lot going including narration british comedian stephen fry adam display talent creating whole new world first five audiobooks hitchhiker guide galaxy series packed brilliant humour extraordinary character highly original storyline wonder novel favourite many,2
51,Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,4.5,4327.0,1093.0,29,Personal Development & Self-Help,522.0,brought penguin,1
52,"Men Are from Mars, Women Are from Venus: The Classic Guide to Understanding the Opposite Sex",John Gray,4.5,3970.0,13345.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
53,Autobiography of a Yogi,Paramahansa Yogananda,4.6,2244.0,1126.0,-1,,486.5,this audio edition featuring academy award winner ben kingsley masterful narration contains complete text paramahansa yogananda life story absorbing account singular search truth yogananda describes experience saint illuminated master india present definitive introduction whole science philosophy yoga,2
54,Hit Refresh,Satya Nadella,4.4,841.0,13442.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
55,FREE: Professional Integrity (A Riyria Chronicles Tale),Michael J. Sullivan,4.5,268.5,0.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
56,A Gentleman in Moscow,Amor Towles,4.6,16358.0,873.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
57,A Game of Thrones: Book 1 of A Song of Ice and Fire,George R. R. Martin,4.7,13129.0,18149.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
58,The 10X Rule: The Only Difference Between Success and Failure,Grant Cardone,4.6,2729.0,703.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
59,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,4.6,1886.0,11862.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
60,The Bhagavad Gita,Eknath Easwaran,4.7,2021.0,280.0,-1,,486.5,the bhagavad gita the song lord best known indian scripture easwaran reliable accessible version consistently translation easwaran introduction place gita historical setting brings universality timelessness teaching chapter introduction give clear explanation key concept chapter to listen scripture without introduction listener start track the bhagavad gita open dramatically battlefield warrior arjuna turn anguish spiritual guide sri krishna answer fundamental question life but easwaran point gita seems dialogue two mythical figure dawn indian history the battlefield perfect backdrop gita subject war within struggle every human must wage live life meaningful fulfilling worthwhile this audio recording complete unabridged reading eknath easwaran book the bhagavad gita,2
61,Mythos,Stephen Fry,4.6,2614.0,1093.0,-1,,486.5,step another world magic mayhem monster maniacal god stephen fry momentous sunday time mythos brought penguin,2
62,Take Control of Your Life: How to Silence Fear and Win the Mental Game,Mel Robbins,3.9,10.0,1003.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
63,"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,4.7,5583.0,1599.0,75,Fiction on Orphans & Foster Homes for Children,1818.0,sharing dark lord thought emotion the headmaster think inadvisable continue he wish teach close mind dark lord,2
64,"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,4.7,7113.0,1599.0,78,Fiction on Orphans & Foster Homes for Children,1287.0,there hanging sky school blazing green skull serpent tongue mark death eater left behind whenever entered building wherever murdered,2
65,A Suitable Boy (Dramatised),Vikram Seth,4.4,554.0,888.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
66,Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Dr. Joseph Murphy,4.5,2296.0,668.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
67,"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,4.7,5485.0,1599.0,46,Fiction on Orphans & Foster Homes for Children,1337.0,three task spaced throughout school year test champion many different way magical prowess daring power deduction course ability cope danger,2
68,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,4.4,3377.0,1005.0,116,Business Management,518.0,most startup fail but many failure preventable the lean startup new approach adopted across globe changing way company built new product launched,2
69,"Trading in the Zone: Master the Market with Confidence, Discipline, and a Winning Attitude",Mark Douglas,4.7,1048.0,879.0,-1,,486.5,oops it rush hour traffic piling page please try short trying place order processed time go home page continue shopping,4
70,Learn English: Word Power 101: Absolute Beginner English #1,Innovative Language Learning,3.6,231.0,0.0,8,English Language Learning,37.0,master english learn english word power this audiobook completely new way learn english vocabulary fast free start speaking english minute powerful learning method master book,2
71,Range: How Generalists Triumph in a Specialized World,David Epstein,4.6,1279.0,323.0,105,Business,617.0,range groundbreaking exhilarating exploration successful century david epstein acclaimed author the sport gene,2
72,Man's Search for Meaning,Viktor E. Frankl,4.4,12997.0,468.0,96,Textbooks & Study Guides,284.0,internationally renowned psychiatrist viktor frankl endured year unspeakable horror nazi death camp during partly suffering frankl developed revolutionary approach psychotherapy known logotherapy at core theory belief man primary motivational force search meaning,2
73,Everything Is F*cked: A Book About Hope,Mark Manson,4.3,2390.0,10378.0,85,Personal Success,422.0,from author international the subtle art not giving a f ck come counterintuitive guide problem hope,2
74,The Anarchy: The Relentless Rise of the East India Company,William Dalrymple,4.6,1375.0,1138.0,84,Colonialism & Post-Colonialism,943.0,bloomsbury present the anarchy william dalrymple read sid sagar,3
